"","substancia","resumoApresentacao","minino","maximo","mediano","marcas","valoresMin","valoresMax","valoresMed"
"338","AMOXICILINA TRI-HIDRATADA","80MG/ML|oral|solucao",20.02,52.34,29,"SINOT|AMOXICILINA|NOVOCILIN|AMOXICILINA|VELAMOX BD","20.02|25.82|41.87|24.5|22.87","25.03|32.28|52.34|30.63|28.59","23|30|49|29|27"
"339","AMOXICILINA TRI-HIDRATADA","875MG|125MG|oral|comprimido",93.15,116.44,109,"SIGMA-CLAV BD","93.15","116.44","109"
"340","AMOXICILINA TRI-HIDRATADA","875MG|oral|comprimido",27.87,98.1,53,"AMOXICILINA|AMOXICILINA|SINOT|SINOT|AMOXICILINA|NOVOCILIN|NOVOCILIN|AMOXICILINA TRI-HIDRATADA|AMOXICILINA|AMOXICILINA|VELAMOX BD","38.8|55.4|27.87|46.65|38.61|58.28|78.48|45.88|36.58|45.91|31.54","48.5|69.25|34.84|58.31|48.26|72.85|98.1|57.35|45.73|57.39|39.43","45|65|32|54|45|68|92|53|43|54|37"
"341","AMOXICILINA TRIHIDRATADA","100MG/ML|oral|solucao",75.99,94.99,89,"AMOXIL","75.99","94.99","89"
"342","AMOXICILINA TRIHIDRATADA","50MG/ML|oral|solucao",11.77,572.54,59,"AMOXIL|VELAMOX|AMOXICILINA|AMOXICILINA|AMOXICILINA","51|11.77|24.24|458.03|515.96","63.75|14.71|30.3|572.54|515.96","59|14|28|534|516"
"343","AMOXICILINA TRIHIDRATADA;AMOXICILINA TRI-HIDRATADA","500MG|oral|comprimido",26.44,33.05,31,"AMOXICILINA TRI-HIDRATADA","26.44","33.05","31"
"344","AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO","500MG|125MG|oral|comprimido",36.4,68.43,53,"AMOXICILINA + CLAVULANATO DE POTÁSSIO|AMOXICILINA + CLAVULANATO DE POTÁSSIO","36.4|54.74","45.5|68.43","42|64"
"345","AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO","875MG|125MG|oral|comprimido",105.86,177.51,144.5,"AMOXICILINA + CLAVULANATO DE POTÁSSIO|AMOXICILINA + CLAVULANATO DE POTÁSSIO","105.86|142.01","132.33|177.51","123|166"
"346","AMOXICILINA;AMOXICILINA TRI-HIDRATADA","100MG/ML|oral|solucao",26.17,32.71,31,"AMOXICILINA","26.17","32.71","31"
"347","AMOXICILINA;AMOXICILINA TRI-HIDRATADA","500MG|oral|comprimido",23.25,29.06,27,"AMOXICILINA","23.25","29.06","27"
"348","AMOXICILINA;AMOXICILINA TRI-HIDRATADA","80MG/ML|oral|solucao",25.09,31.36,29,"AMOXICILINA","25.09","31.36","29"
"349","AMPICILINA","500MG|oral|comprimido",9.73,548.48,23,"AMPICILINA|AMPICILINA|AMPICILINA|AMPICILINA|AMPICILAB|AMPICILINA|AMPICILINA|AMPICILINA|AMPICILINA","17.97|10.05|20.09|39.22|21.09|9.73|17.91|27.81|438.78","22.46|12.56|25.11|49.03|26.36|12.16|22.39|34.76|548.48","21|12|23|46|25|11|21|32|512"
"350","AMPICILINA","50MG/ML|oral|solucao",13.73,358.8,34.5,"AMPICILINA|AMPICILINA|AMPICILINA|AMPICILINA","13.73|37.54|21.78|287.04","17.16|46.93|27.23|358.8","16|44|25|335"
"351","AMPICILINA SÓDICA","1000MG|injetavel|po",4.1,454.99,214.5,"CILINON|CILINON","363.99|4.1","454.99|5.13","424|5"
"352","AMPICILINA SÓDICA","1G|injetavel|solucao",362.73,599.7,491,"AMPICILINA SÓDICA|AMPICILINA SÓDICA","479.76|362.73","599.7|453.41","559|423"
"353","AMPICILINA SÓDICA","500MG|injetavel|po",3.49,375.45,177,"CILINON|CILINON","300.36|3.49","375.45|4.36","350|4"
"354","AMPICILINA SÓDICA","500MG|injetavel|solucao",132.38,165.48,154,"AMPICILINA SÓDICA","132.38","165.48","154"
"355","ANASTROZOL","1MG|oral|comprimido",479.99,861.48,617,"ANASTROLIBBS|ANASTROZOL|ANASTROZOL|ANASTROZOL|ARAZABI|ARIMIDEX|ANYA|ANYA","660.67|480.01|479.99|480.01|480.01|689.18|578.22|619.52","825.84|600.01|599.99|600.01|600.01|861.48|722.78|774.4","770|560|560|560|560|804|674|722"
"356","ANFOTERICINA B","50MG|injetavel|solucao",600.42,750.53,700,"ANFORICIN B","600.42","750.53","700"
"357","ANFOTERICINA B","50MG|oral|solucao",17755.23,22194.04,20701,"AMBISOME","17755.23","22194.04","20701"
"358","ANFOTERICINA B","5MG/ML|injetavel|solucao",2722.37,3402.96,3174,"ABELCET","2722.37","3402.96","3174"
"359","ANFOTERICINA B;TETRACICLINA","45G|vaginal|pomada-creme-gel",36.61,52.87,46,"FUNGITRIN","36.61","52.87","46"
"360","ANIDULAFUNGINA","100MG|injetavel|solucao",246.84,513.1,383.5,"ANIDULAFUNGINA|ECALTA","246.84|410.48","308.55|513.1","288|479"
"361","ANTÍGENO DE SUPERFÍCIE DA HEPATITE B","20MCG/ML|injetavel|solucao",28.8,41.34,35,"EUVAX B|EUVAX B","28.8|41.34","28.8|41.34","29|41"
"362","ANTIMONIATO DE MEGLUMINA","300MG/ML|injetavel|solucao",320.48,400.6,374,"GLUCANTIME","320.48","400.6","374"
"363","APALUTAMIDA","60MG|oral|comprimido",8800.29,12708.66,11155,"ERLEADA","8800.29","12708.66","11155"
"364","APIXABANA","2.5MG|oral|comprimido",65.81,246.85,153.5,"ELIQUIS|ELIQUIS","65.81|197.48","82.26|246.85","77|230"
"365","APIXABANA","5MG|oral|comprimido",65.81,246.85,153.5,"ELIQUIS|ELIQUIS","65.81|197.48","82.26|246.85","77|230"
"366","APROTININA;TROMBINA;FATOR XIII DE COAGULAÇÃO;FIBRINOGÊNIO","ERRO|oral|po",651.93,2433.9,1515,"BERIPLAST P|BERIPLAST P","1947.12|651.93","2433.9|814.91","2270|760"
"367","APROTININA;TROMBINA;FIBRINOGÊNIO","ERRO|oral|po",493.29,3248.52,1188,"TISSEEL|TISSEEL|TISSEEL","493.29|937.23|2249.48","712.38|1353.47|3248.52","625|1188|2851"
"368","APROTININA;TROMBINA;FIBRINOGÊNIO","ERRO|topico|solucao",493.29,3248.52,1188,"TISSEEL|TISSEEL|TISSEEL","493.29|937.23|2249.48","712.38|1353.47|3248.52","625|1188|2851"
"369","ARIPIPRAZOL","10MG|oral|comprimido",138.56,699.36,424,"ARIPIPRAZOL|SENSAZ|TOARIP|ARISTAB|ARISTAB|ARIPIPRAZOL|HARIP|ARIPIPRAZOL|ARIPIPRAZOL|KAVIUM|AIPRI","138.56|141.87|544.21|186.5|559.49|363.64|345.65|363.67|307.53|363.66|536.33","173.2|177.34|680.26|233.13|699.36|454.55|432.06|454.59|384.41|454.58|670.41","162|165|635|217|652|424|403|424|359|424|625"
"370","ARIPIPRAZOL","15MG|oral|comprimido",203.1,1049.08,636,"ARIPIPRAZOL|SENSAZ|TOARIP|ARISTAB|ARISTAB|ARIPIPRAZOL|HARIP|ARIPIPRAZOL|ARIPIPRAZOL|KAVIUM|AIPRI","203.1|211.93|806.56|279.77|839.26|545.47|518.47|545.53|459.22|545.51|787.28","253.88|264.91|1008.2|349.71|1049.08|681.84|648.09|681.91|574.03|681.89|984.1","237|247|940|326|979|636|604|636|535|636|918"
"371","ARIPIPRAZOL","1MG/ML|oral|solucao",153.87,288.49,224,"ARISTAB|ARISTAB","153.87|230.79","192.34|288.49","179|269"
"372","ARIPIPRAZOL","20MG/ML|oral|solucao",923.21,1154.01,1076,"ARPEJO","923.21","1154.01","1076"
"373","ARIPIPRAZOL","20MG|oral|comprimido",568.88,1398.76,1245,"TOARIP|ARISTAB|ARIPIPRAZOL","1067.48|1119.01|568.88","1334.35|1398.76|711.1","1245|1305|663"
"374","ARIPIPRAZOL","30MG|oral|comprimido",922.59,2098.13,1891,"TOARIP|ARISTAB|ARIPIPRAZOL","1621.51|1678.5|922.59","2026.89|2098.13|1153.24","1891|1957|1076"
"375","ASPARAGINASE","10000U|injetavel|solucao",1377.85,1722.31,1606,"SPECTRILA","1377.85","1722.31","1606"
"376","ASPARTATO DE ARGININA","1500MG|oral|comprimido",42.78,61.77,54,"TARGIFOR","42.78","61.77","54"
"377","ASPARTATO DE ARGININA","250MG|oral|comprimido",33.46,48.33,42,"REFORGAN","33.46","48.33","42"
"378","ASPARTATO DE ARGININA","500MG|oral|comprimido",39.49,57.03,50,"ARGIX","39.49","57.03","50"
"379","ASPARTATO DE ARGININA;ÁCIDO ASCÓRBICO","1000MG|1000MG|oral|comprimido",25.46,37.82,32.5,"BIOARGI-C|CENEVIT ARG","25.46|26.19","36.77|37.82","32|33"
"380","ASPARTATO DE ARGININA;ÁCIDO ASCÓRBICO","1G|1G|oral|comprimido",21.02,38.53,30,"ASPARGIL C|ASPARGIL C|STARFOR C|TARGIFOR C","21.02|26.68|23.24|24.39","30.35|38.53|33.56|35.23","27|34|29|31"
"381","ASPARTATO DE ARGININA;ÁCIDO ASCÓRBICO","500MG|500MG|oral|comprimido",26.73,69.5,47.5,"TARGIFOR C|TARGIFOR C","26.73|48.12","38.6|69.5","34|61"
"382","ASPARTATO DE ORNITINA","0.5G/ML|injetavel|solucao",187.16,270.28,237,"HEPA-MERZ","187.16","270.28","237"
"383","ASPARTATO DE ORNITINA","0.6G/G|5G|oral|po",62.87,90.79,80,"HEPA-MERZ","62.87","90.79","80"
"384","ATENOLOL","100MG|oral|comprimido",12.52,317.69,29,"ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|ABLOK|ATENOLAB|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL","31.44|12.52|33.46|25.01|29.51|12.59|17.38|26.99|254.15|24.17|19.99","39.3|15.65|41.83|31.26|36.89|15.74|21.73|33.74|317.69|30.21|24.99","37|15|39|29|34|15|20|31|296|28|23"
"385","ATENOLOL","25MG|oral|comprimido",3.58,108.91,12,"ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|TENOLON|ATENOLOL|ATENOLOL|ANGIPRESS|ATENOLOL|ABLOK|ATENOLOL|ATENOLOL|ATENOLAB|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|TELOL|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL","10.93|9.57|11.07|21.11|53.74|5.09|12.44|16.95|10.18|11.49|16.63|12.44|9.18|9.18|13.24|108.91|15.5|13.96|16.63|16.62|10.14|3.58","10.93|9.57|11.07|21.11|53.74|5.09|12.44|16.95|10.18|11.49|16.63|12.44|9.18|9.18|13.24|108.91|15.5|13.96|16.63|16.62|10.14|3.58","11|10|11|21|54|5|12|17|10|11|17|12|9|9|13|109|16|14|17|17|10|4"
"386","ATENOLOL","50MG|oral|comprimido",7.82,154.29,20,"ATENOPRESS|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|ANGIPRESS|ATENOLOL|ABLOK|ATENOLOL|ATENOLOL|ATENOLAB|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL|TELOL|ATENOLOL|ATENOLOL|ATENOLOL|ATENOLOL","7.82|12.81|13.46|17.95|32.37|14.19|28.38|12.06|23.23|17.18|24.8|14.37|18.03|25.57|44.26|12.75|12.75|17.96|123.43|15.88|16.75|25.57|25.56|13.91|9.33","9.78|16.01|16.83|22.44|40.46|17.74|35.48|15.08|29.04|21.48|31|17.96|22.54|31.96|55.33|15.94|15.94|22.45|154.29|19.85|20.94|31.96|31.95|17.39|11.66","9|15|16|21|38|17|33|14|27|20|29|17|21|30|52|15|15|21|144|19|20|30|30|16|11"
"387","ATENOLOL;BESILATO DE ANLODIPINO","5MG|25MG|oral|comprimido",48.1,60.13,56,"BETALOR","48.1","60.13","56"
"388","ATENOLOL;BESILATO DE ANLODIPINO","5MG|50MG|oral|comprimido",56.6,70.75,66,"BETALOR","56.6","70.75","66"
"389","ATENOLOL;CLORTALIDONA","100MG|25MG|oral|comprimido",24.24,68.65,38,"ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA|ATENOCLOR|ATENOLOL + CLORTALIDONA|ANGIPRESS CD|ATENOLOL + CLORTALIDONA|ABLOK PLUS|ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA","28.62|32.36|32.38|24.24|32.34|41.14|28.61|36.89|31.85|32.28|54.92","35.78|40.45|40.48|30.3|40.43|51.43|35.76|46.11|39.81|40.35|68.65","33|38|38|28|38|48|33|43|37|38|64"
"390","ATENOLOL;CLORTALIDONA","25MG|12.5MG|oral|comprimido",12.38,30.96,28,"ANGIPRESS CD|ABLOK PLUS|ABLOK PLUS","23.64|12.38|24.77","29.55|15.48|30.96","28|14|29"
"391","ATENOLOL;CLORTALIDONA","50MG|12.5MG|oral|comprimido",13.41,57.2,24,"ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA|ATENOCLOR|ATENOLOL + CLORTALIDONA|ANGIPRESS CD|ANGIPRESS CD|ATENOLOL + CLORTALIDONA|ABLOK PLUS|ABLOK PLUS|ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA|ATENOLOL + CLORTALIDONA|DIUBLOK","18.96|18.15|20.23|40.47|17.74|20.2|13.41|25.81|19.05|22.87|45.76|19.05|20.17|32.28|17.93","23.7|22.69|25.29|50.59|22.18|25.25|16.76|32.26|23.81|28.59|57.2|23.81|25.21|40.35|22.41","22|21|24|47|21|24|16|30|22|27|53|22|24|38|21"
"392","ATEZOLIZUMABE","1200MG|oral|solucao",19969.18,28837.85,25313,"TECENTRIQ","19969.18","28837.85","25313"
"393","ATEZOLIZUMABE","840MG|oral|solucao",13978.43,20186.5,17719,"TECENTRIQ","13978.43","20186.5","17719"
"394","ATORVASTATINA CÁLCICA","10MG|oral|comprimido",15.32,294.55,56,"VAST|ATORVASTATINA CÁLCICA|ATORVASTATINA CALCICA|ATORVASTATINA CÁLCICA|LIPITOR|CITALOR|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATEROMA|ATEROMA|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|TORVILIP|LIPISTAT|LIPISTAT|LIPISTAT|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATORVASTATINA CALCICA","45.03|38.42|28.69|20.66|147.29|73.63|95.73|191.46|15.32|69.67|95.73|47.85|86.16|47.85|49.1|147.29|294.55|47.85|143.6|47.85|55.18","56.29|48.03|28.69|20.66|147.29|73.63|95.73|191.46|15.32|69.67|95.73|59.81|107.7|47.85|49.1|147.29|294.55|47.85|143.6|47.85|55.18","52|45|29|21|147|74|96|191|15|70|96|56|100|48|49|147|295|48|144|48|55"
"395","ATORVASTATINA CÁLCICA","20MG|oral|comprimido",20.66,516.04,63,"VAST|ATORVASTATINA CÁLCICA|ATORVASTATINA CALCICA|ATORVASTATINA CÁLCICA|LIPITOR|CITALOR|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|KOLEVAS|ATEROMA|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|TORVILIP|LIPISTAT|LIPISTAT|LIPISTAT|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATORVASTATINA CALCICA","45.03|38.42|28.69|20.66|180.61|73.63|167.73|335.45|258.03|69.67|42.55|167.73|47.85|86.16|47.85|49.1|258.03|516.04|47.85|139.61|47.85|53.95","56.29|48.03|28.69|20.66|180.61|73.63|167.73|335.45|258.03|69.67|42.55|167.73|59.81|107.7|47.85|49.1|258.03|516.04|47.85|139.61|47.85|53.95","52|45|29|21|181|74|168|335|258|70|43|168|56|100|48|49|258|516|48|140|48|54"
"396","ATORVASTATINA CÁLCICA","40MG|oral|comprimido",30.64,345.27,112,"VAST|ATORVASTATINA CÁLCICA|ATORVASTATINA CALCICA|LIPITOR|CITALOR|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|ATEROMA|ATEROMA|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA|TORVILIP|LIPISTAT|ATORVASTATINA CÁLCICA|ATORVASTATINA CALCICA","90.05|76.85|57.39|265.59|147.29|172.65|345.27|30.64|139.37|172.65|95.74|95.74|265.57|94.57|99.64","112.56|96.06|57.39|265.59|184.11|172.65|345.27|30.64|139.37|172.65|119.68|95.74|265.57|94.57|99.64","105|90|57|266|172|173|345|31|139|173|112|96|266|95|100"
"397","ATORVASTATINA CÁLCICA","80MG|oral|comprimido",147.29,265.59,173,"LIPITOR|CITALOR|ATORVASTATINA CÁLCICA|ATORVASTATINA CÁLCICA","265.59|147.29|172.65|172.65","265.59|184.11|172.65|172.65","266|172|173|173"
"398","ATROPA BELLADONNA","ERRO|oral|comprimido",6.61,9.54,8,"ELIXIR CÓLICO","6.61","9.54","8"
"399","AVELUMABE","20MG/ML|oral|solucao",4563.33,6589.99,5784,"BAVENCIO","4563.33","6589.99","5784"
"400","AXETIL CEFUROXIMA","500MG|oral|comprimido",113.86,142.33,133,"ZINNAT","113.86","142.33","133"
"401","AXETILCEFUROXIMA","250MG|oral|comprimido",54.98,154.73,103,"ZINNAT|ZINNAT|MEFEX|MEFEX|AXETILCEFUROXIMA","88.42|123.78|79.12|110.77|54.98","110.53|154.73|98.9|138.46|68.73","103|144|92|129|64"
"402","AXETILCEFUROXIMA","250MG|oral|solucao",132.87,223.86,182,"ZINNAT|ZINNAT","132.87|179.09","166.09|223.86","155|209"
"403","AXETILCEFUROXIMA","500MG|oral|comprimido",64.85,277.2,120,"ZINNAT|ZINNAT|MEFEX|MEFEX|AXETILCEFUROXIMA|AXETILCEFUROXIMA|AXETILCEFUROXIMA","221.76|165.36|103.03|145.22|71.4|99.96|64.85","277.2|206.7|128.79|181.53|89.25|124.95|81.06","259|193|120|169|83|117|76"
"404","AXETILCEFUROXIMA","50MG/ML|oral|solucao",52.47,166.09,100.5,"ZINNAT|ZINNAT|AXETIL CEFUROXIMA|AXETIL CEFUROXIMA","98.68|132.87|52.47|73.45","123.35|166.09|65.59|91.81","115|155|61|86"
"405","AXITINIBE","1MG|oral|comprimido",10679.25,13349.06,12451,"INLYTA","10679.25","13349.06","12451"
"406","AXITINIBE","5MG|oral|comprimido",17791.72,22239.65,20744,"INLYTA","17791.72","22239.65","20744"
"407","AZACITIDINA","100MG|200MG|200MG|injetavel|solucao",949.77,2110.15,1528,"VIDAZA|AZACITIDINA","1461.21|949.77","2110.15|1371.58","1852|1204"
"408","AZACITIDINA","100MG|injetavel|solucao",1461.21,2110.15,1852,"WINDUZA","1461.21","2110.15","1852"
"409","AZATIOPRINA","50MG|oral|comprimido",75.8,540.45,268,"IMUNEN|IMUSSUPREX|FURP-AZATIOPRINA|IMURAN|IMURAN","432.36|75.8|267.61|136.94|273.88","540.45|75.8|267.61|171.18|342.35","504|76|268|160|319"
"410","AZITROMICINA","1000MG|oral|comprimido",17.87,25.58,22.5,"AZITROMICINA|AZI","17.87|20.46","22.34|25.58","21|24"
"411","AZITROMICINA","1G|oral|comprimido",802.39,1002.99,936,"AZITROMICINA","802.39","1002.99","936"
"412","AZITROMICINA","40MG/ML|oral|solucao",22.49,56.99,43,"AZITROMICINA|AZITROMICINA|AZITROMICINA","45.59|37.03|22.49","56.99|46.29|28.11","53|43|26"
"413","AZITROMICINA","500MG|oral|comprimido",13.18,351.01,32.5,"SELIMAX|AZITROMICINA|AZITROMICINA|AZITROMICINA|ZIMICINA|ZIMICINA|AZITROMICINA|AZITROMICINA|CLINDAL  AZ|CLINDAL  AZ|CLINDAL  AZ|AZITROMICINA|AZITROMICINA|AZITROMICINA|TEUTRAZI|TEUTRAZI|AZITROMICINA|AZITROMICINA|AZITROMICINA|AZI|AZITROMICINA DI-HIDRATADA|AZITROMICINA DI-HIDRATADA","40.29|26.24|280.81|37.4|13.18|18.59|17.2|29.1|22.65|15.72|33.96|21.15|48.73|29.27|19.05|31.74|13.96|24.51|29.25|24.51|48.74|29.29","50.36|32.8|351.01|46.75|16.48|23.24|21.5|36.38|28.31|19.65|42.45|26.44|60.91|36.59|23.81|39.68|17.45|30.64|36.56|30.64|60.93|36.61","47|31|327|44|15|22|20|34|26|18|40|25|57|34|22|37|16|29|34|29|57|34"
"414","AZITROMICINA","500MG|oral|solucao",1032.46,1290.58,1204,"AZITROMICINA MONOIDRATADA 500MG","1032.46","1290.58","1204"
"415","AZITROMICINA DI-HIDRATADA","1500MG|oral|solucao",38.14,85.14,61.5,"AZITROMICINA|ASTRO","68.11|38.14","85.14|47.68","79|44"
"416","AZITROMICINA DI-HIDRATADA","1G|oral|comprimido",13.27,16.59,15,"AZITROMICINA","13.27","16.59","15"
"417","AZITROMICINA DI-HIDRATADA","40MG/ML|oral|solucao",31.29,1305.51,513.5,"AZITROMICINA|AZITROMICINA|AZITROMICINA|AZITROMICINA","38.57|1044.41|31.29|842.25","48.21|1305.51|39.11|1052.81","45|1218|36|982"
"418","AZITROMICINA DI-HIDRATADA","500MG|injetavel|solucao",1588.43,1985.54,1852,"ZITROMAX","1588.43","1985.54","1852"
"419","AZITROMICINA DI-HIDRATADA","500MG|oral|comprimido",7.82,3613.94,27.5,"ASTRO|ASTRO|ASTRO|ASTRO|AZITROMICINA|AZITROMICINA|AZITROMICINA|ZOLPROX|AZITROMICINA DI-HIDRATADA|AZITROMICINA DI-HIDRATADA|ZIRK|ZIRK|ZIRK|AZITROMED|AZITROMICINA|AZITROMICINA|AZITROMICINA|AZITROMICINA|AZITROMICINA|ZITROMAX|ZITROMAX|AZITROMICINA|AZITROMICINA|AZITROMICINA|AZITROMICINA DI-HIDRATADA|AZI|AZITROPHAR|AZITROPHAR|AZITROMICINA DI-HIDRATADA|AZITROMICINA|AZITROMICINA|AZITROMICINA|AZITROMICINA|AZITROMICINA DIIDRATADA|AZITROMICINA DIIDRATADA|AZITROMICINA DIIDRATADA|AZITROMICINA DIIDRATADA|AZITROMICINA DIIDRATADA","8.02|12.02|235.73|20.03|24.84|26.23|37.37|17.78|14.62|29.27|15.79|26.32|267.96|14.27|14.27|998.68|14.54|13.99|28.03|21.03|22.49|24.85|1426.49|568.16|14.62|39.58|2891.15|37.48|7.82|7.88|35.69|14.62|29.27|13.77|877.97|12.69|19.01|31.32","10.03|15.03|294.66|25.04|31.05|32.79|46.71|22.23|18.28|36.59|19.74|32.9|334.95|17.84|17.84|1248.35|18.18|17.49|35.04|26.29|28.11|31.06|1783.11|710.2|18.28|49.48|3613.94|46.85|9.78|9.85|44.61|18.28|36.59|17.21|1097.46|15.86|23.76|39.15","9|14|275|23|29|31|44|21|17|34|18|31|312|17|17|1164|17|16|33|25|26|29|1663|662|17|46|3371|44|9|9|42|17|34|16|1024|15|22|37"
"420","AZITROMICINA DI-HIDRATADA","500MG|oral|solucao",1032.48,1985.51,1704,"ASTRO IV|AZITRIMICINA DI-HIDRATADA|AZICIN","1461.45|1032.48|1588.41","1826.81|1290.6|1985.51","1704|1204|1852"
"421","AZITROMICINA DI-HIDRATADA","600MG|oral|solucao",26.78,41.49,35,"ASTRO|AZITROMICINA DI-HIDRATADA","26.78|33.19","33.48|41.49","31|39"
"422","AZITROMICINA DI-HIDRATADA","900MG|oral|po",40.87,51.09,48,"AZITROMICINA DI-HIDRATADA","40.87","51.09","48"
"423","AZITROMICINA DI-HIDRATADA","900MG|oral|solucao",38.14,47.68,44,"ASTRO","38.14","47.68","44"
"424","AZITROMICINA DI-HIDRATADA;AZITROMICINA","40MG/ML|1500MG|oral|solucao",38.12,47.65,44,"AZI","38.12","47.65","44"
"425","AZITROMICINA DI-HIDRATADA;AZITROMICINA","40MG/ML|600MG|oral|solucao",16.73,20.91,20,"AZI","16.73","20.91","20"
"426","AZITROMICINA DI-HIDRATADA;AZITROMICINA","500MG|oral|comprimido",19.88,30.99,26,"AZITROMICINA|AZITROPHAR","19.88|24.79","24.85|30.99","23|29"
"427","AZITROMICINA DIIDRATADA","600MG|oral|solucao",33.2,45.89,41,"AZITROMICINA|ZITRONEO","33.2|36.71","41.5|45.89","39|43"
"428","AZITROMICINA DIIDRATADA","900MG|oral|solucao",38.9,51.09,46.5,"AZITROMICINA|ZITRONEO","40.87|38.9","51.09|48.63","48|45"
"429","AZITROMICINA MONOIDRATADA","500MG|injetavel|solucao",1012.73,1265.91,1181,"AZITROMICINA MONOIDRATADA","1012.73","1265.91","1181"
"430","AZTREONAM","1G|injetavel|po",1944.3,2430.38,2267,"AZTREONAM","1944.3","2430.38","2267"
"431","BACILLUS CEREUS","ERRO|oral|solucao",6.54,54.52,28,"BIOVICERIN|BIOVICERIN","6.54|37.75","9.45|54.52","8|48"
"432","BACITRACINA ZÍNCICA","5MG|250UI/G|10G|topico|pomada-creme-gel",248.82,311.03,290,"NEOCETHEO","248.82","311.03","290"
"433","BACITRACINA;SULFATO DE NEOMICINA","5MG/G|250UI/G|15G|topico|pomada-creme-gel",5.29,11.3,8,"SULFATO DE NEOMICINA + BACITRACINA|BACTODERM|SULFATO DE NEOMICINA + BACITRACINA","6.02|7.82|5.29","8.69|11.3|7.63","8|10|7"
"434","BACITRACINA;SULFATO DE NEOMICINA","5MG/G|250UI/G|50G|topico|pomada-creme-gel",11.41,17.15,14.5,"BACTODERM|SULFATO DE NEOMICINA + BACITRACINA","11.87|11.41","17.15|16.48","15|14"
"435","BACLOFENO","10MG|oral|comprimido",13.72,35.86,17,"LIORESAL|BACLOFEN|BACLOFENO|BACLOFENO|BACLON","28.69|13.93|17.76|13.72|14.96","35.86|17.41|22.2|17.15|18.7","33|16|21|16|17"
"436","BACOPA MONNIERI (L.) WETTST.","225MG|oral|comprimido",62.51,90.27,79,"COGNITUS","62.51","90.27","79"
"437","BARICITINIBE","2MG|oral|comprimido",2204.69,3183.83,2795,"OLUMIANT","2204.69","3183.83","2795"
"438","BARICITINIBE","4MG|oral|comprimido",3489.07,5038.63,4423,"OLUMIANT","3489.07","5038.63","4423"
"439","BASILIXIMAB","20MG|injetavel|po",5878.2,7347.75,6854,"SIMULECT","5878.2","7347.75","6854"
"440","BELIMUMABE","120MG|injetavel|po",572.82,798.41,711,"BENLYSTA","572.82","798.41","711"
"441","BELIMUMABE","400MG|injetavel|po",1909.39,2661.34,2370,"BENLYSTA","1909.39","2661.34","2370"
"442","BENDAMUSTINA","100MG|oral|solucao",2286.64,2858.3,2666,"RIBOMUSTIN","2286.64","2858.3","2666"
"443","BENDAMUSTINA","25MG|oral|solucao",600.19,750.24,700,"RIBOMUSTIN","600.19","750.24","700"
"444","BENFOTIAMINA","150MG|oral|comprimido",41.06,59.3,52,"MILGAMMA","41.06","59.3","52"
"445","BENRALIZUMABE","30MG/ML|injetavel|solucao",9123.27,13175.07,11565,"FASENRA","9123.27","13175.07","11565"
"446","BENZBROMARONA","100MG|oral|comprimido",27.2,34,32,"NARCARICINA","27.2","34","32"
"447","BENZENO;MENTOL","18.6MG/ML|1.3MG/ML|otologico|solucao",12.62,18.23,16,"AURIS-SEDINA","12.62","18.23","16"
"448","BENZILPENICILINA BENZATINA","1200000UI|injetavel|po",312.32,390.4,364,"FURP-BENZILPENICILINA BENZATINA","312.32","390.4","364"
"449","BENZILPENICILINA BENZATINA","1200000UI|injetavel|solucao",500.77,625.96,584,"BEPEBEN","500.77","625.96","584"
"450","BENZILPENICILINA BENZATINA","300000U/ML|injetavel|solucao",10.02,625.96,117,"BENZETACIL|BENZETACIL|BENZETACIL","500.77|100.15|10.02","625.96|125.19|12.53","584|117|12"
